complex,cluster_id,homo_fold,bycx_fold,n_records
1JCK_A_B,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_1,17
3D3V_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_1,9
1LP9_ABC_EF,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_1,4
1SBB_A_B,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_1,7
2BNQ_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_1,1
2VLR_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_1,2
2J8U_ABC_EF,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_1,2
2E7L_EQ_AD,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_1,1
4P23_CD_AB,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_2,35
1OGA_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_2,58
3QFJ_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_2,1
3C60_CD_AB,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_2,35
2PYE_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_2,5
4L3E_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_2,13
3QDJ_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_2,17
2P5E_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_2,5
4JFD_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_2,6
4FTV_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_2,18
4N8V_G_ABC,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_2,4
1QSE_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_2,1
3PWP_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_2,2
2OI9_AQ_BC,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_2,1
3NCC_A_B,"1A22_A_B,1BP3_A_B,3MZG_A_B,3N06_A_B,3N0P_A_B,3NCB_A_B,3NCC_A",homo_1,split_0,9
1A22_A_B,"1A22_A_B,1BP3_A_B,3MZG_A_B,3N06_A_B,3N0P_A_B,3NCB_A_B,3NCC_A",homo_1,split_0,251
3NCB_A_B,"1A22_A_B,1BP3_A_B,3MZG_A_B,3N06_A_B,3N0P_A_B,3NCB_A_B,3NCC_A",homo_1,split_0,19
3N06_A_B,"1A22_A_B,1BP3_A_B,3MZG_A_B,3N06_A_B,3N0P_A_B,3NCB_A_B,3NCC_A",homo_1,split_0,10
3MZG_A_B,"1A22_A_B,1BP3_A_B,3MZG_A_B,3N06_A_B,3N0P_A_B,3NCB_A_B,3NCC_A",homo_1,split_1,91
3N0P_A_B,"1A22_A_B,1BP3_A_B,3MZG_A_B,3N06_A_B,3N0P_A_B,3NCB_A_B,3NCC_A",homo_1,split_1,10
1BP3_A_B,"1A22_A_B,1BP3_A_B,3MZG_A_B,3N06_A_B,3N0P_A_B,3NCB_A_B,3NCC_A",homo_1,split_2,66
2G2U_A_B,"1JTD_A_B,1JTG_A_B,1S0W_A_C,1XXM_A_C,2G2U_A_B,2G2W_A_B,3N4I_A",homo_2,split_0,47
1JTD_A_B,"1JTD_A_B,1JTG_A_B,1S0W_A_C,1XXM_A_C,2G2U_A_B,2G2W_A_B,3N4I_A",homo_2,split_0,36
1S0W_A_C,"1JTD_A_B,1JTG_A_B,1S0W_A_C,1XXM_A_C,2G2U_A_B,2G2W_A_B,3N4I_A",homo_2,split_0,1
1XXM_A_C,"1JTD_A_B,1JTG_A_B,1S0W_A_C,1XXM_A_C,2G2U_A_B,2G2W_A_B,3N4I_A",homo_2,split_1,1
1JTG_A_B,"1JTD_A_B,1JTG_A_B,1S0W_A_C,1XXM_A_C,2G2U_A_B,2G2W_A_B,3N4I_A",homo_2,split_2,275
3QHY_A_B,"1JTD_A_B,1JTG_A_B,1S0W_A_C,1XXM_A_C,2G2U_A_B,2G2W_A_B,3N4I_A",homo_2,split_2,25
2G2W_A_B,"1JTD_A_B,1JTG_A_B,1S0W_A_C,1XXM_A_C,2G2U_A_B,2G2W_A_B,3N4I_A",homo_2,split_2,1
3N4I_A_B,"1JTD_A_B,1JTG_A_B,1S0W_A_C,1XXM_A_C,2G2U_A_B,2G2W_A_B,3N4I_A",homo_2,split_2,1
2A9K_A_B,"1C1Y_A_B,1E96_A_B,1GUA_A_B,1HE8_A_B,1K8R_A_B,1LFD_A_B,2A9K_A",homo_2,split_0,2
1LFD_A_B,"1C1Y_A_B,1E96_A_B,1GUA_A_B,1HE8_A_B,1K8R_A_B,1LFD_A_B,2A9K_A",homo_2,split_0,118
1C1Y_A_B,"1C1Y_A_B,1E96_A_B,1GUA_A_B,1HE8_A_B,1K8R_A_B,1LFD_A_B,2A9K_A",homo_2,split_0,18
5UFE_A_B,"1C1Y_A_B,1E96_A_B,1GUA_A_B,1HE8_A_B,1K8R_A_B,1LFD_A_B,2A9K_A",homo_2,split_0,9
1GUA_A_B,"1C1Y_A_B,1E96_A_B,1GUA_A_B,1HE8_A_B,1K8R_A_B,1LFD_A_B,2A9K_A",homo_2,split_1,15
1HE8_A_B,"1C1Y_A_B,1E96_A_B,1GUA_A_B,1HE8_A_B,1K8R_A_B,1LFD_A_B,2A9K_A",homo_2,split_1,15
5XCO_A_B,"1C1Y_A_B,1E96_A_B,1GUA_A_B,1HE8_A_B,1K8R_A_B,1LFD_A_B,2A9K_A",homo_2,split_1,29
5UFQ_A_C,"1C1Y_A_B,1E96_A_B,1GUA_A_B,1HE8_A_B,1K8R_A_B,1LFD_A_B,2A9K_A",homo_2,split_1,7
1E96_A_B,"1C1Y_A_B,1E96_A_B,1GUA_A_B,1HE8_A_B,1K8R_A_B,1LFD_A_B,2A9K_A",homo_2,split_1,6
4G0N_A_B,"1C1Y_A_B,1E96_A_B,1GUA_A_B,1HE8_A_B,1K8R_A_B,1LFD_A_B,2A9K_A",homo_2,split_2,90
3KUD_A_B,"1C1Y_A_B,1E96_A_B,1GUA_A_B,1HE8_A_B,1K8R_A_B,1LFD_A_B,2A9K_A",homo_2,split_2,18
1K8R_A_B,"1C1Y_A_B,1E96_A_B,1GUA_A_B,1HE8_A_B,1K8R_A_B,1LFD_A_B,2A9K_A",homo_2,split_2,20
5TAR_A_B,"1C1Y_A_B,1E96_A_B,1GUA_A_B,1HE8_A_B,1K8R_A_B,1LFD_A_B,2A9K_A",homo_2,split_2,9
1CHO_EFG_I,1CHO_EFG_I,homo_1,split_2,295
3SGB_E_I,3SGB_E_I,homo_0,split_1,295
1R0R_E_I,1R0R_E_I,homo_2,split_0,284
1PPF_E_I,1PPF_E_I,homo_1,split_0,259
3BT1_A_U,3BT1_A_U,homo_0,split_1,245
3S9D_A_B,"3S9D_A_B,3SE3_B_C,3SE4_B_C",homo_1,split_0,218
3SE4_B_C,"3S9D_A_B,3SE3_B_C,3SE4_B_C",homo_1,split_0,20
3SE3_B_C,"3S9D_A_B,3SE3_B_C,3SE4_B_C",homo_1,split_0,2
1DAN_HL_UT,1DAN_HL_UT,homo_2,split_1,130
2VLQ_A_B,"1EMV_A_B,1FR2_A_B,2GYK_A_B,2VLN_A_B,2VLO_A_B,2VLP_A_B,2VLQ_A",homo_2,split_0,1
1EMV_A_B,"1EMV_A_B,1FR2_A_B,2GYK_A_B,2VLN_A_B,2VLO_A_B,2VLP_A_B,2VLQ_A",homo_2,split_0,59
2GYK_A_B,"1EMV_A_B,1FR2_A_B,2GYK_A_B,2VLN_A_B,2VLO_A_B,2VLP_A_B,2VLQ_A",homo_2,split_0,1
2VLN_A_B,"1EMV_A_B,1FR2_A_B,2GYK_A_B,2VLN_A_B,2VLO_A_B,2VLP_A_B,2VLQ_A",homo_2,split_1,1
2VLO_A_B,"1EMV_A_B,1FR2_A_B,2GYK_A_B,2VLN_A_B,2VLO_A_B,2VLP_A_B,2VLQ_A",homo_2,split_1,1
2WPT_A_B,"1EMV_A_B,1FR2_A_B,2GYK_A_B,2VLN_A_B,2VLO_A_B,2VLP_A_B,2VLQ_A",homo_2,split_2,62
1FR2_A_B,"1EMV_A_B,1FR2_A_B,2GYK_A_B,2VLN_A_B,2VLO_A_B,2VLP_A_B,2VLQ_A",homo_2,split_2,1
2VLP_A_B,"1EMV_A_B,1FR2_A_B,2GYK_A_B,2VLN_A_B,2VLO_A_B,2VLP_A_B,2VLQ_A",homo_2,split_2,1
3HFM_HL_Y,3HFM_HL_Y,homo_0,split_0,112
1B2U_A_D,"1B2S_A_D,1B2U_A_D,1B3S_A_D,1BRS_A_D,1X1W_A_D,1X1X_A_D",homo_1,split_0,3
1B2S_A_D,"1B2S_A_D,1B2U_A_D,1B3S_A_D,1BRS_A_D,1X1W_A_D,1X1X_A_D",homo_1,split_0,3
1B3S_A_D,"1B2S_A_D,1B2U_A_D,1B3S_A_D,1BRS_A_D,1X1W_A_D,1X1X_A_D",homo_1,split_1,3
1X1X_A_D,"1B2S_A_D,1B2U_A_D,1B3S_A_D,1BRS_A_D,1X1W_A_D,1X1X_A_D",homo_1,split_1,1
1BRS_A_D,"1B2S_A_D,1B2U_A_D,1B3S_A_D,1BRS_A_D,1X1W_A_D,1X1X_A_D",homo_1,split_2,94
1X1W_A_D,"1B2S_A_D,1B2U_A_D,1B3S_A_D,1BRS_A_D,1X1W_A_D,1X1X_A_D",homo_1,split_2,1
4RS1_A_B,"4NKQ_C_AB,4RS1_A_B",homo_2,split_0,46
4NKQ_C_AB,"4NKQ_C_AB,4RS1_A_B",homo_2,split_1,59
1KTZ_A_B,"1KTZ_A_B,1REW_AB_C,2B0U_AB_C,2QJ9_AB_C,2QJA_AB_C,2QJB_AB_C,3",homo_0,split_0,27
3SEK_B_C,"1KTZ_A_B,1REW_AB_C,2B0U_AB_C,2QJ9_AB_C,2QJA_AB_C,2QJB_AB_C,3",homo_0,split_0,7
2QJB_AB_C,"1KTZ_A_B,1REW_AB_C,2B0U_AB_C,2QJ9_AB_C,2QJA_AB_C,2QJB_AB_C,3",homo_0,split_0,3
3HH2_AB_C,"1KTZ_A_B,1REW_AB_C,2B0U_AB_C,2QJ9_AB_C,2QJA_AB_C,2QJB_AB_C,3",homo_0,split_0,7
3BK3_A_C,"1KTZ_A_B,1REW_AB_C,2B0U_AB_C,2QJ9_AB_C,2QJA_AB_C,2QJB_AB_C,3",homo_0,split_1,13
1REW_AB_C,"1KTZ_A_B,1REW_AB_C,2B0U_AB_C,2QJ9_AB_C,2QJA_AB_C,2QJB_AB_C,3",homo_0,split_1,27
2B0U_AB_C,"1KTZ_A_B,1REW_AB_C,2B0U_AB_C,2QJ9_AB_C,2QJA_AB_C,2QJB_AB_C,3",homo_0,split_1,7
3B4V_AB_C,"1KTZ_A_B,1REW_AB_C,2B0U_AB_C,2QJ9_AB_C,2QJA_AB_C,2QJB_AB_C,3",homo_0,split_1,7
2QJA_AB_C,"1KTZ_A_B,1REW_AB_C,2B0U_AB_C,2QJ9_AB_C,2QJA_AB_C,2QJB_AB_C,3",homo_0,split_1,3
2QJ9_AB_C,"1KTZ_A_B,1REW_AB_C,2B0U_AB_C,2QJ9_AB_C,2QJA_AB_C,2QJB_AB_C,3",homo_0,split_2,3
1MHP_HL_A,1MHP_HL_A,homo_1,split_0,94
2B2X_HL_A,2B2X_HL_A,homo_2,split_1,91
3SE3_B_A,"3SE3_B_A,3SE4_B_A",homo_0,split_0,67
3SE4_B_A,"3SE3_B_A,3SE4_B_A",homo_0,split_0,18
1GC1_G_C,"1GC1_G_C,2NY7_HL_G,3IDX_HL_G",homo_1,split_1,56
3IDX_HL_G,"1GC1_G_C,2NY7_HL_G,3IDX_HL_G",homo_1,split_1,11
2NY7_HL_G,"1GC1_G_C,2NY7_HL_G,3IDX_HL_G",homo_1,split_2,11
1JRH_LH_I,1JRH_LH_I,homo_2,split_1,74
3N85_A_LH,"1FC2_C_D,1FCC_A_C,3MZW_A_B,3N85_A_LH",homo_1,split_0,10
3MZW_A_B,"1FC2_C_D,1FCC_A_C,3MZW_A_B,3N85_A_LH",homo_1,split_1,30
1FC2_C_D,"1FC2_C_D,1FCC_A_C,3MZW_A_B,3N85_A_LH",homo_1,split_1,23
1FCC_A_C,"1FC2_C_D,1FCC_A_C,3MZW_A_B,3N85_A_LH",homo_1,split_2,9
1VFB_AB_C,1VFB_AB_C,homo_0,split_1,70
1A4Y_A_B,"1A4Y_A_B,1Z7X_W_X",homo_2,split_0,45
1Z7X_W_X,"1A4Y_A_B,1Z7X_W_X",homo_2,split_2,21
1FSS_A_B,"1B41_A_B,1FSS_A_B,1MAH_A_F",homo_1,split_0,30
1MAH_A_F,"1B41_A_B,1FSS_A_B,1MAH_A_F",homo_1,split_0,13
1B41_A_B,"1B41_A_B,1FSS_A_B,1MAH_A_F",homo_1,split_1,22
3M62_A_B,"1S1Q_A_B,1XD3_A_B,2OOB_A_B,3M62_A_B,3M63_A_B",homo_0,split_0,18
1S1Q_A_B,"1S1Q_A_B,1XD3_A_B,2OOB_A_B,3M62_A_B,3M63_A_B",homo_0,split_0,6
1XD3_A_B,"1S1Q_A_B,1XD3_A_B,2OOB_A_B,3M62_A_B,3M63_A_B",homo_0,split_1,18
2OOB_A_B,"1S1Q_A_B,1XD3_A_B,2OOB_A_B,3M62_A_B,3M63_A_B",homo_0,split_1,7
3M63_A_B,"1S1Q_A_B,1XD3_A_B,2OOB_A_B,3M62_A_B,3M63_A_B",homo_0,split_2,12
2C5D_AB_CD,"2C5D_AB_CD,2C5D_A_C,4RA0_A_C",homo_2,split_0,20
4RA0_A_C,"2C5D_AB_CD,2C5D_A_C,4RA0_A_C",homo_2,split_2,15
2C5D_A_C,"2C5D_AB_CD,2C5D_A_C,4RA0_A_C",homo_2,split_2,16
1C4Z_ABC_D,1C4Z_ABC_D,homo_0,split_1,49
3LB6_A_C,"3G6D_LH_A,3L5X_A_HL,3LB6_A_C",homo_1,split_0,4
3L5X_A_HL,"3G6D_LH_A,3L5X_A_HL,3LB6_A_C",homo_1,split_1,36
3G6D_LH_A,"3G6D_LH_A,3L5X_A_HL,3LB6_A_C",homo_1,split_2,8
1DVF_AB_CD,1DVF_AB_CD,homo_2,split_2,46
1KNE_A_P,1KNE_A_P,homo_0,split_0,46
1CBW_FGH_I,1CBW_FGH_I,homo_1,split_1,45
3NGB_HL_G,3NGB_HL_G,homo_2,split_1,45
4UYP_A_D,"1OHZ_A_B,2CCL_A_B,4UYP_A_D,4UYQ_A_B,5M2O_A_B",homo_1,split_0,8
5M2O_A_B,"1OHZ_A_B,2CCL_A_B,4UYP_A_D,4UYQ_A_B,5M2O_A_B",homo_1,split_0,22
2CCL_A_B,"1OHZ_A_B,2CCL_A_B,4UYP_A_D,4UYQ_A_B,5M2O_A_B",homo_1,split_0,1
1OHZ_A_B,"1OHZ_A_B,2CCL_A_B,4UYP_A_D,4UYQ_A_B,5M2O_A_B",homo_1,split_0,5
4UYQ_A_B,"1OHZ_A_B,2CCL_A_B,4UYP_A_D,4UYQ_A_B,5M2O_A_B",homo_1,split_2,8
2JEL_LH_P,2JEL_LH_P,homo_0,split_0,44
1DQJ_AB_C,1DQJ_AB_C,homo_2,split_1,39
1IAR_A_B,1IAR_A_B,homo_1,split_0,36
3BN9_B_CD,3BN9_B_CD,homo_2,split_2,35
2FTL_E_I,2FTL_E_I,homo_0,split_1,32
2NYY_DC_A,2NYY_DC_A,homo_0,split_0,32
1MLC_AB_E,1MLC_AB_E,homo_2,split_2,29
1E50_A_B,"1E50_A_B,1H9D_A_B",homo_1,split_0,22
1H9D_A_B,"1E50_A_B,1H9D_A_B",homo_1,split_0,6
3SE8_HL_G,3SE8_HL_G,homo_1,split_1,28
1EAW_A_B,1EAW_A_B,homo_2,split_0,27
3NPS_A_BC,3NPS_A_BC,homo_0,split_1,27
1TM1_E_I,1TM1_E_I,homo_2,split_0,26
4HRN_A_D,"2DVW_A_B,3AAA_AB_C,4HRN_A_D",homo_0,split_0,4
3AAA_AB_C,"2DVW_A_B,3AAA_AB_C,4HRN_A_D",homo_0,split_0,11
2DVW_A_B,"2DVW_A_B,3AAA_AB_C,4HRN_A_D",homo_0,split_1,10
3SE9_HL_G,3SE9_HL_G,homo_1,split_1,25
4PWX_AB_CD,4PWX_AB_CD,homo_0,split_0,25
2VN5_A_B,2VN5_A_B,homo_1,split_2,24
4I77_HL_Z,4I77_HL_Z,homo_2,split_0,24
1BJ1_HL_VW,1BJ1_HL_VW,homo_1,split_1,23
2B11_A_B,"2B0Z_A_B,2B10_A_B,2B11_A_B,2B12_A_B,2PCB_A_B,2PCC_A_B",homo_2,split_0,1
2B10_A_B,"2B0Z_A_B,2B10_A_B,2B11_A_B,2B12_A_B,2PCB_A_B,2PCC_A_B",homo_2,split_0,1
2PCC_A_B,"2B0Z_A_B,2B10_A_B,2B11_A_B,2B12_A_B,2PCB_A_B,2PCC_A_B",homo_2,split_1,12
2PCB_A_B,"2B0Z_A_B,2B10_A_B,2B11_A_B,2B12_A_B,2PCB_A_B,2PCC_A_B",homo_2,split_2,6
2B0Z_A_B,"2B0Z_A_B,2B10_A_B,2B11_A_B,2B12_A_B,2PCB_A_B,2PCC_A_B",homo_2,split_2,1
2B12_A_B,"2B0Z_A_B,2B10_A_B,2B11_A_B,2B12_A_B,2PCB_A_B,2PCC_A_B",homo_2,split_2,1
2J0T_A_D,2J0T_A_D,homo_0,split_1,22
3LNZ_A_B,"3EQS_A_B,3EQY_A_C,3LNZ_A_B",homo_2,split_1,1
3EQY_A_C,"3EQS_A_B,3EQY_A_C,3LNZ_A_B",homo_2,split_2,11
3EQS_A_B,"3EQS_A_B,3EQY_A_C,3LNZ_A_B",homo_2,split_2,10
4K71_A_BC,4K71_A_BC,homo_0,split_1,22
3SZK_AB_C,3SZK_AB_C,homo_1,split_1,21
2NZ9_DC_A,2NZ9_DC_A,homo_1,split_2,20
5C6T_HL_A,5C6T_HL_A,homo_2,split_2,20
1FFW_A_B,1FFW_A_B,homo_0,split_1,19
1YY9_CD_A,1YY9_CD_A,homo_0,split_2,19
1M9E_A_D,"1AK4_A_D,1M9E_A_D",homo_1,split_0,1
1AK4_A_D,"1AK4_A_D,1M9E_A_D",homo_1,split_2,17
1CZ8_HL_VW,1CZ8_HL_VW,homo_2,split_2,18
3VR6_ABCDEF_GH,3VR6_ABCDEF_GH,homo_1,split_0,18
1AHW_AB_C,1AHW_AB_C,homo_2,split_2,16
4YFD_A_B,"4YFD_A_B,4YH7_A_B",homo_0,split_0,8
4YH7_A_B,"4YFD_A_B,4YH7_A_B",homo_0,split_2,8
1N8Z_AB_C,1N8Z_AB_C,homo_2,split_2,14
1UUZ_A_D,"1UUZ_A_D,1YQV_HL_Y",homo_0,split_2,5
1YQV_HL_Y,"1UUZ_A_D,1YQV_HL_Y",homo_0,split_2,9
4MNQ_ABC_DE,4MNQ_ABC_DE,homo_1,split_1,14
3KBH_A_E,"2AJF_A_E,3KBH_A_E",homo_2,split_0,6
2AJF_A_E,"2AJF_A_E,3KBH_A_E",homo_2,split_1,7
4OFY_A_D,4OFY_A_D,homo_0,split_0,13
5F4E_A_B,5F4E_A_B,homo_1,split_1,13
1F47_A_B,1F47_A_B,homo_2,split_1,12
2BDN_HL_A,2BDN_HL_A,homo_0,split_1,12
4B0M_A_BM,4B0M_A_BM,homo_1,split_2,12
3Q8D_A_E,3Q8D_A_E,homo_2,split_1,11
3SF4_A_D,"3SF4_A_D,4G2V_A_B,4WND_A_B",homo_0,split_0,5
4G2V_A_B,"3SF4_A_D,4G2V_A_B,4WND_A_B",homo_0,split_1,3
4WND_A_B,"3SF4_A_D,4G2V_A_B,4WND_A_B",homo_0,split_2,3
4BFI_A_B,4BFI_A_B,homo_1,split_0,11
4NZW_A_B,"4FZA_A_B,4NZW_A_B,4O27_A_B",homo_2,split_0,3
4O27_A_B,"4FZA_A_B,4NZW_A_B,4O27_A_B",homo_2,split_2,4
4FZA_A_B,"4FZA_A_B,4NZW_A_B,4O27_A_B",homo_2,split_2,4
1EFN_A_B,"1EFN_A_B,1GCQ_AB_C",homo_0,split_0,3
1GCQ_AB_C,"1EFN_A_B,1GCQ_AB_C",homo_0,split_2,7
2KSO_A_B,2KSO_A_B,homo_1,split_2,10
2SIC_E_I,2SIC_E_I,homo_0,split_0,10
3F1S_A_B,3F1S_A_B,homo_2,split_0,10
5CYK_A_B,"5CXB_A_B,5CYK_A_B",homo_1,split_0,5
5CXB_A_B,"5CXB_A_B,5CYK_A_B",homo_1,split_1,5
1QAB_ABCD_E,1QAB_ABCD_E,homo_0,split_2,9
4CPA_A_I,"2ABZ_B_E,4CPA_A_I",homo_2,split_0,8
2ABZ_B_E,"2ABZ_B_E,4CPA_A_I",homo_2,split_0,1
2NOJ_A_B,"2GOX_A_B,2NOJ_A_B,3D5R_A_C,3D5S_A_C",homo_1,split_1,1
3D5R_A_C,"2GOX_A_B,2NOJ_A_B,3D5R_A_C,3D5S_A_C",homo_1,split_1,2
2GOX_A_B,"2GOX_A_B,2NOJ_A_B,3D5R_A_C,3D5S_A_C",homo_1,split_2,4
3D5S_A_C,"2GOX_A_B,2NOJ_A_B,3D5R_A_C,3D5S_A_C",homo_1,split_2,2
4CVW_A_C,4CVW_A_C,homo_0,split_2,9
4JPK_HL_A,4JPK_HL_A,homo_2,split_0,9
4NM8_ABCDEF_HL,4NM8_ABCDEF_HL,homo_1,split_0,9
1P6A_A_B,"1KAC_A_B,1P69_A_B,1P6A_A_B,2J12_A_B,2J1K_C_T",homo_0,split_1,1
2J1K_C_T,"1KAC_A_B,1P69_A_B,1P6A_A_B,2J12_A_B,2J1K_C_T",homo_0,split_1,3
1P69_A_B,"1KAC_A_B,1P69_A_B,1P6A_A_B,2J12_A_B,2J1K_C_T",homo_0,split_1,1
1KAC_A_B,"1KAC_A_B,1P69_A_B,1P6A_A_B,2J12_A_B,2J1K_C_T",homo_0,split_2,2
2J12_A_B,"1KAC_A_B,1P69_A_B,1P6A_A_B,2J12_A_B,2J1K_C_T",homo_0,split_2,1
2C0L_A_B,"2C0L_A_B,3R9A_AC_B",homo_2,split_2,3
3R9A_AC_B,"2C0L_A_B,3R9A_AC_B",homo_2,split_2,5
4L0P_A_B,"2HLE_A_B,4L0P_A_B",homo_1,split_1,6
2HLE_A_B,"2HLE_A_B,4L0P_A_B",homo_1,split_1,2
2O3B_A_B,2O3B_A_B,homo_0,split_2,8
3UIG_A_P,"3UIG_A_P,3UIH_A_P,3UII_A_P",homo_2,split_0,5
3UII_A_P,"3UIG_A_P,3UIH_A_P,3UII_A_P",homo_2,split_1,2
3UIH_A_P,"3UIG_A_P,3UIH_A_P,3UII_A_P",homo_2,split_2,1
4HFK_A_BD,4HFK_A_BD,homo_1,split_2,8
4J2L_A_CD,4J2L_A_CD,homo_0,split_0,8
4JEU_A_B,4JEU_A_B,homo_2,split_2,8
3Q3J_A_B,"1GRN_A_B,2REX_A_B,3EG5_A_B,3Q3J_A_B",homo_1,split_0,1
2REX_A_B,"1GRN_A_B,2REX_A_B,3EG5_A_B,3Q3J_A_B",homo_1,split_1,2
3EG5_A_B,"1GRN_A_B,2REX_A_B,3EG5_A_B,3Q3J_A_B",homo_1,split_2,3
